# Provenance des images des grilles german. Généré par scripts/german/fetch_image.py — ne pas éditer à la main.
# nom_depot	sha256	octets	dimensions	chemin_vault
abdo-algorithme-diverticulite-aigue.png	7083bbdf1d06d29f901a8de1cc248274a011807890802da190464e1585dbcb44	136569	1156x827	Skills ECOS/img/abdo/32-Douleurs-abdominales-aigues/abdo-algorithme-diverticulite-aigue.png
abdo-classification-de-la-diverticulite-compliquee.png	db4474fb1a8e897c3a7bf936306f0ec007ee057b34083f3266c5d901f3a507b9	64089	521x291	Skills ECOS/img/abdo/32-Douleurs-abdominales-aigues/abdo-classification-de-la-diverticulite-compliquee.png
abdo-criteres-diagnostics-selon-rome-iv.png	138af5ce148c31dd5bca3cf3e681e6f7a38d0768dc66b632c857b4974a1e0c4e	142295	558x466	Skills ECOS/img/abdo/34-Constipation/abdo-criteres-diagnostics-selon-rome-iv.png
abdo-diagnostic-differentiel-de-la-douleur-abdominale-aigue-selon-localisation-dans-un-des-neuf-quadrants.png	9c2e8b29c3424ab092f14d524f51f4f252f3c445e9d1c27eb166e0f5143c19b5	193564	574x598	Skills ECOS/img/abdo/32-Douleurs-abdominales-aigues/abdo-diagnostic-differentiel-de-la-douleur-abdominale-aigue-selon-localisation-dans-un-des-neuf-quadrants.png
abdo-echelle-de-bristol-de-la-consistance-des-selles.png	3ef3bb20326b9132dfc9daca9adbb5d3befd9d972dbae12f9d4ed6c93bbe4d94	109102	483x492	Skills ECOS/img/abdo/34-Constipation/abdo-echelle-de-bristol-de-la-consistance-des-selles.png
abdo-echelle-de-bristol.png	e59db4dddc1c7a3c42a85b17cd55ba4ee8be27717272eca2652750354acdfd24	94366	503x687	Skills ECOS/img/abdo/20-Diarrhees-aigues/abdo-echelle-de-bristol.png
abdo-fecalome-stercolithe-red-flag.jpg	ae04b59790c71dd5e734a5f5f26e2717968d33d103d965ba68ea95322f1340b5	97791	960x417	Skills ECOS/img/abdo/abdo-fecalome-stercolithe-red-flag.jpg
abdo-ischemie-mesenterique-aigue-angio-ct.jpg	712d35a4b3f6fe4fa16d071c6739acf5f3b635937fa6aae28f7eba868f9a48a0	93583	960x529	Skills ECOS/img/abdo/abdo-ischemie-mesenterique-aigue-angio-ct.jpg
abdo-message-cle-constipation.png	6a1d0d42bb912c3c05bab36b59bcaed964dbd731be7c2a04712cd88a7267dd88	277651	2340x1113	Skills ECOS/img/abdo/34-Constipation/abdo-message-cle-constipation.png
abdo-message-cle-douleur-abdominale-chronique.png	3583bb169d887e71e7b2501e4a39a36131f785d7b8e63be3b2fea8eec07914cd	298439	2160x1167	Skills ECOS/img/abdo/33-Douleur-abdominale-chronique/abdo-message-cle-douleur-abdominale-chronique.png
abdo-message-cle-douleurs-abdominales-aigues.png	8b4a8c267d542030752bc85136b08456ed8924414188419c6ee9ace8e14f498f	252257	2190x1080	Skills ECOS/img/abdo/32-Douleurs-abdominales-aigues/abdo-message-cle-douleurs-abdominales-aigues.png
abdo-occlusion-intestinale-niveaux-hydro-aeriques-asp-debout.jpg	0eee53c6dc2c9021f1dfa8ffaaf6974951957f71576b6057f046a9327a1a6aaf	130846	960x1195	Skills ECOS/img/abdo/abdo-occlusion-intestinale-niveaux-hydro-aeriques-asp-debout.jpg
abdo-occlusion-intestinale-red-flag-niveaux-anses-dilatees.jpg	5a87ebb09c98eab0519993d90eabcba2cce68601b9c8779d5683666006572c18	171859	960x1133	Skills ECOS/img/abdo/abdo-occlusion-intestinale-red-flag-niveaux-anses-dilatees.jpg
abdo-positions-toucher-rectal.png	d3bf166cdc02293380c0cc997ab1bc00a4b3f4351aef30fdc99f4f1490c9e9e2	154838	1041x449	Skills ECOS/img/abdo/abdo-positions-toucher-rectal.png
abdo-score-d-alvarado.png	855abb4d4a09eb17c53a04169d3ef4ef93afbc49eacb10771ec6a4b4d1be76f3	32173	436x296	Skills ECOS/img/abdo/32-Douleurs-abdominales-aigues/abdo-score-d-alvarado.png
abdo-signe-de-l-obturateur.png	336c5f6bdf0140f3222413b3bbddcd26a3c30a200206cf0d09c804da40912c3f	59431	565x314	Skills ECOS/img/abdo/abdo-signe-de-l-obturateur.png
abdo-signes-de-cullen-grey-turner-pancreatite-hemorragique.jpg	28ec53ff943335fa91c7d622951c146a5df6dcef07778453f80dc1db5011165e	27337	602x316	Skills ECOS/img/abdo/abdo-signes-de-cullen-grey-turner-pancreatite-hemorragique.jpg
anamnese-052-algorithme-tachycardie-bradycardie.jpg	420f6f8975291f4d585a70620e49150abd9f7cb1c8cb205ca909774305ec182c	338693	2372x3258	Skills ECOS/img/communication/anamneses-status/manuscrit/anamnese-052-algorithme-tachycardie-bradycardie.jpeg
bilan-auditif.jpg	25a5edb181bf80125cac17ec7e8442d107085e19cf3ed60660ef9c2e256db50a	58872	951x588	_bibliotheque/ORL-img/sorel_images/Oreille et équilibre/Audiologie/bilan_auditif.jpg
cardio-algorithme-douleur-thoracique.png	c1539dbeb5b966f20137370bd3bcc545029d6a316579728d62c4865010523661	183819	779x1195	Skills ECOS/img/cardio/24-Douleur-thoracique/cardio-algorithme-douleur-thoracique.png
cardio-classification-de-la-severite-d-une-ep.png	ef6a1620a0733aabceddbcd1058f6c8e9834cab00fd15b05503c5e5b9093d450	54654	558x287	Skills ECOS/img/cardio/27-Maladie-thromboembolique-veineuse/cardio-classification-de-la-severite-d-une-ep.png
cardio-classification-et-etiologie-des-douleurs-thoraciques.png	59974860069c419e669146b34722866212124818379ac54902307ad1ea79727d	109252	521x728	Skills ECOS/img/cardio/24-Douleur-thoracique/cardio-classification-et-etiologie-des-douleurs-thoraciques.png
cardio-douleurs-musculo-squelettiques-trigger-points.png	1199fc7c194e25046ec40379d464e39e92c8221a32af9e58e3c7ae6796dc5478	92238	386x338	Skills ECOS/img/cardio/24-Douleur-thoracique/cardio-douleurs-musculo-squelettiques-trigger-points.png
cardio-ecg-12-derivations.jpg	267fd89fa95db96bba793fd47cddfcd53086832f1e8085e741f64b242a3224cd	104081	717x491	Skills ECOS/img/cardio/cardio-ecg-12-derivations.jpg
cardio-message-cle-douleur-thoracique.png	14472b6091cc664c92f410ca3ef2f44724e7e68a09117ad9f0c51cfbdba4e445	228703	2280x996	Skills ECOS/img/cardio/24-Douleur-thoracique/cardio-message-cle-douleur-thoracique.png
cardio-score-clinique-topic-proba-sca.png	ac5cb280e3f3f49c6a7a510598fc48bb8aa00c865b9f54cfa6fc0f19f35aaaec	43745	521x301	Skills ECOS/img/cardio/24-Douleur-thoracique/cardio-score-clinique-topic-proba-sca.png
cardio-score-de-geneve-modifie-et-score-de-wells-simplifie.png	74ef3b35572018e6e3bbbe3310c74f68946b5c536ddb3db3584fb5c97aa0b1de	107595	558x623	Skills ECOS/img/cardio/24-Douleur-thoracique/cardio-score-de-geneve-modifie-et-score-de-wells-simplifie.png
cardio-tachycardie-a-qrs-fins-2.png	b218abf9ad533d241b130ff29f4a249da0cc1c67c697264c87a9b67b44367b79	42248	514x269	Skills ECOS/img/cardio/cardio-tachycardie-a-qrs-fins-2.png
cardio-troponine-elevation-causes-classification.jpg	8f0c9c0da7c044b8ef695e7b8279a0a01a974a7ee68d8c5d8cde0c5ef5c1be0d	48143	387x750	Skills ECOS/img/cardio/cardio-troponine-elevation-causes-classification.jpg
cyanose-07-distinguer-cyanoses-centrale-peripherique.jpg	d34dff3e0cdde8b6202c5e72658b9eefaeabe41ad0eb1934a1100fabdd9fb4f5	87438	620x828	Skills ECOS/img/cardio/banques/cyanose/cyanose-07-distinguer-cyanoses-centrale-peripherique.jpeg
deglutition-text.jpg	3ace6a41aaecbb4adb0f21e60b92618971b2fca31cfce73d52062d9a22c17c78	247500	2362x1654	_bibliotheque/ORL-img/sorel_images/Cavité buccale, pharynx/Anatomie et physiologie du pharynx/deglutition_text.jpg
derma-message-cle-infections-cutanees.png	270bafd8322ecddf9e460ca6f9d8d42092d3fbb28f514f50bbe09d699fbdc05f	470937	2760x1812	Skills ECOS/img/derma/56-Infections-cutanees/derma-message-cle-infections-cutanees.png
derma-psoriasis-pitting-ungual.jpg	ed7719e1c6fcd6cc6a37df89e16bf02fa9de6e96d6ba94c282b29883d697da44	220433	797x1000	Skills ECOS/img/derma/derma-psoriasis-pitting-ungual.jpg
derma-psoriasis-plaque-genou.jpg	6ecfe2e5a823efa9773a2aa5b57d7c7630bd5fda4d861b9a09bb735cbf972345	201468	669x999	Skills ECOS/img/derma/derma-psoriasis-plaque-genou.jpg
derma-purpura-febrile-meningococcemie.jpg	5a2ec8d59e1a5680e6186c32e40b0094a530a7863b1cc488b69cf3bac18395fa	77651	960x720	Skills ECOS/img/derma/derma-purpura-febrile-meningococcemie.jpg
dermato-plaque.jpg	69ead7a76ceeb24f58f43cb6a755d42f5be805daa5a0d1ac38736d2aaf2bf4f3	146682	1964x1422	_bibliotheque/Dermato-img/Dermato-Plaque.jpg
dermato-squame.jpg	55e640454219269540fa2a84cd815abd6f86e51d1b37790a9225d56b8d32d439	185464	1964x1422	_bibliotheque/Dermato-img/Dermato-Squame.jpg
dermatomes.jpg	64be4797a5dac5db831e82d7ed38c583f9f65a609615e14258a37a56e56d3e7b	103932	885x1000	Skills ECOS/img/dermatomes.jpg
em-aide-page-0004.jpg	cebef98ce281080ff1367b6260a134b0d62b05973d3b3d456efc360c90845c03	557206	1241x1756	_bibliotheque/ECOS/Communication-img/EM_Aide_page-0004.jpg
endocrino-01-hypothyroidie-manifestations-cliniques.jpg	86a13d9f92dabed3f2f2338b65420a1eaad43854c750ae1e026f66c6b48e888a	326326	1170x1307	Skills ECOS/img/endocrino/banques/thyroide-parathyroide/endocrino-01-hypothyroidie-manifestations-cliniques.jpeg
endocrino-02-hyperthyroidie-manifestations-cliniques.jpg	8036ec8b6ae053f3c9fe877d36a50aed0a64654c4b7f9db32ce91cc6bd02d8b5	378501	1170x1309	Skills ECOS/img/endocrino/banques/thyroide-parathyroide/endocrino-02-hyperthyroidie-manifestations-cliniques.jpeg
epaule-impingement-subacromial-stades-neer.jpg	3fec0f7d31606f425041c46637e730fbbefdcc20bcaed002b1e83d9a2ec5a47c	164655	1600x995	Skills ECOS/img/epaule/epaule-impingement-subacromial-stades-neer.jpg
epaule-message-cle-epaule-douloureuse.png	8ae281cf784d83c2851dc09d1dff69a90a51268546e06f352c4db87259400c04	378437	2400x1485	Skills ECOS/img/epaule/53-Epaule-douloureuse/epaule-message-cle-epaule-douloureuse.png
